title,address,access,age,floor,fee,management_fee,deposit,gratuity,floor_plan,area
京王線 仙川駅 4階建 築36年,東京都調布市仙川町３,"
京王線/仙川駅 歩4分
京王線/つつじヶ丘駅 歩18分
京王井の頭線/三鷹台駅 バス26分 (バス停)宅添橋 歩3分
","
築36年
4階建
","
											2階",12.2万円,3000円,12.2万円,12.2万円,3LDK,60.15m2
メープルリーフガーデン,東京都調布市仙川町３,"
京王線/仙川駅 歩4分
京王線/つつじヶ丘駅 歩18分
京王井の頭線/三鷹台駅 バス26分 (バス停)宅添橋 歩3分
","
築36年
4階建
","
											2階",12.2万円,3000円,12.2万円,12.2万円,3LDK,60.15m2
メープルリーフガーデン,東京都調布市仙川町３,"
京王線/仙川駅 歩4分
京王線/つつじヶ丘駅 歩18分
京王井の頭線/三鷹台駅 バス26分 (バス停)宅添橋 歩3分
","
築36年
4階建
","
											2階",12.2万円,3000円,12.2万円,12.2万円,3LDK,60.15m2
La vie,東京都調布市多摩川４,"
京王相模原線/京王多摩川駅 歩7分
ＪＲ南武線/矢野口駅 歩16分
京王相模原線/京王稲田堤駅 歩30分
","
築15年
2階建
","
											1階",10万円,4000円,-,5万円,1LDK,39.14m2
La vie,東京都調布市多摩川４,"
京王相模原線/京王多摩川駅 歩7分
ＪＲ南武線/矢野口駅 歩16分
京王相模原線/京王稲田堤駅 歩30分
","
築15年
2階建
","
											2階",10.5万円,4000円,-,5.25万円,1LDK,47.68m2
La vie,東京都調布市多摩川４,"
京王相模原線/京王多摩川駅 歩7分
ＪＲ南武線/矢野口駅 歩16分
京王相模原線/京王稲田堤駅 歩30分
","
築15年
2階建
","
											1階",10.5万円,4000円,-,5.25万円,1LDK,39.14m2
京王線 布田駅 2階建 築13年,東京都調布市国領町１,"
京王線/布田駅 歩3分
京王線/国領駅 歩10分
京王線/調布駅 歩12分
","
築13年
2階建
","
											2階",9.9万円,2000円,9.9万円,9.9万円,1LDK,38.17m2
ステーション柴崎,東京都調布市柴崎１,"
京王線/柴崎駅 歩5分
京王線/国領駅 歩13分
京王線/つつじヶ丘駅 歩17分
","
新築
2階建
","
											1階",7.2万円,5000円,-,7.2万円,1K,24.88m2
ステーション柴崎,東京都調布市柴崎１,"
京王線/柴崎駅 歩5分
京王線/国領駅 歩13分
京王線/つつじヶ丘駅 歩17分
","
新築
2階建
","
											2階",9.6万円,5000円,-,9.6万円,1DK,35m2
ステーション柴崎,東京都調布市柴崎１,"
京王線/柴崎駅 歩5分
京王線/国領駅 歩13分
京王線/つつじヶ丘駅 歩17分
","
新築
2階建
","
											2階",9.6万円,5000円,-,9.6万円,1DK,34.89m2
ステーション柴崎,東京都調布市柴崎１,"
京王線/柴崎駅 歩5分
京王線/国領駅 歩13分
京王線/つつじヶ丘駅 歩17分
","
新築
2階建
","
											2階",12.5万円,5000円,-,18.75万円,1LDK,56.42m2
京王線 つつじヶ丘駅 2階建 築31年,東京都調布市西つつじケ丘２,"
京王線/つつじヶ丘駅 歩7分
京王線/柴崎駅 歩14分
京王線/仙川駅 歩15分
","
築31年
2階建
","
											2階",9.9万円,3000円,9.9万円,9.9万円,2DK,41.53m2
京王線 つつじヶ丘駅 2階建 築31年,東京都調布市西つつじケ丘２,"
京王線/つつじヶ丘駅 歩7分
京王線/柴崎駅 歩14分
京王線/仙川駅 歩15分
","
築31年
2階建
","
											2階",9.9万円,3000円,9.9万円,9.9万円,2DK,41.53m2
リ・ドマーニ,東京都調布市西つつじケ丘２,"
京王線/つつじヶ丘駅 歩5分
京王線/柴崎駅 歩12分
京王線/仙川駅 歩14分
","
築41年
2階建
","
											2階",9.9万円,3000円,9.9万円,9.9万円,2DK,41.53m2
ヒューリックレジデンス調布柴崎,東京都調布市菊野台２,"
京王線/柴崎駅 歩5分
京王線/国領駅 歩12分

","
築10年
3階建
","
											1階",8.2万円,5000円,8.2万円,8.2万円,1K,25.27m2
ヒューリックレジデンス調布柴崎,東京都調布市菊野台２,"
京王線/柴崎駅 歩5分
京王線/国領駅 歩12分

","
築10年
3階建
","
											1階",8.6万円,5000円,8.6万円,8.6万円,1K,25.27m2
ヒューリックレジデンス調布柴崎,東京都調布市菊野台２,"
京王線/柴崎駅 歩5分
京王線/国領駅 歩12分

","
築10年
3階建
","
											3階",12.7万円,7000円,12.7万円,12.7万円,1LDK,44.95m2
ヒューリックレジデンス調布柴崎,東京都調布市菊野台２,"
京王線/柴崎駅 歩5分
京王線/国領駅 歩12分

","
築10年
3階建
","
											2階",12.7万円,7000円,12.7万円,12.7万円,1LDK,44.95m2
国領5丁目フラット,東京都調布市国領町５,"
京王線/国領駅 歩7分
京王線/布田駅 歩7分
京王線/調布駅 歩16分
","
築3年
2階建
","
											1階",17.5万円,-,17.5万円,17.5万円,2LDK,57.96m2
京王線 柴崎駅 2階建 新築,東京都調布市柴崎１,"
京王線/柴崎駅 歩5分
京王線/国領駅 歩13分
京王線/つつじヶ丘駅 歩16分
","
新築
2階建
","
											1階",7.2万円,5000円,-,7.2万円,1K,24.88m2
京王線 柴崎駅 2階建 新築,東京都調布市柴崎１,"
京王線/柴崎駅 歩5分
京王線/国領駅 歩13分
京王線/つつじヶ丘駅 歩16分
","
新築
2階建
","
											2階",9.6万円,5000円,-,9.6万円,1DK,35m2
京王線 柴崎駅 2階建 新築,東京都調布市柴崎１,"
京王線/柴崎駅 歩5分
京王線/国領駅 歩13分
京王線/つつじヶ丘駅 歩16分
","
新築
2階建
","
											2階",9.6万円,5000円,-,9.6万円,1DK,34.89m2
京王線 柴崎駅 2階建 新築,東京都調布市柴崎１,"
京王線/柴崎駅 歩5分
京王線/国領駅 歩13分
京王線/つつじヶ丘駅 歩16分
","
新築
2階建
","
											2階",12.5万円,5000円,-,18.75万円,1LDK,56.42m2
Ｃｏｕｒｓ,東京都調布市布田４,"
京王線/調布駅 歩7分
京王線/布田駅 歩9分
京王相模原線/京王多摩川駅 歩15分
","
築17年
10階建
","
											8階",7.4万円,8000円,7.4万円,7.4万円,1K,24.71m2
